player_id,year,hometown,homestate,high_school,previous_school_clean,year_clean,hs_clean,hometown_clean,state_clean,country_clean
5547,Senior,North Mankato,Minn,Mankato West HS,,Senior,Mankato West HS,"NORTH MANKATO, MINN",MN,USA
5543,Sophomore,Eagan,Minn,St. Agnes HS,,Sophomore,St. Agnes HS,"EAGAN, MINN",MN,USA
5546,Junior,Lakeville,Minn,Lakeville South HS,,Junior,Lakeville South HS,"LAKEVILLE, MINN",MN,USA
5549,Sophomore,Omaha,Neb,Gretna HS,,Sophomore,Gretna HS,"OMAHA, NEB",NE,USA
5544,Sophomore,Appleton,Wis,Appleton East HS,,Sophomore,Appleton East HS,"APPLETON, WIS",WI,USA
5552,Senior,Cherokee,Iowa,Cherokee Washington HS,,Senior,Cherokee Washington HS,"CHEROKEE, IOWA",IA,USA
5556,Freshman,Devils Lake,ND.,Devils Lake HS,,Freshman,Devils Lake HS,"DEVILS LAKE, ND",ND,USA
5557,Freshman,Huxley,Iowa,Ballard HS,,Freshman,Ballard HS,"HUXLEY, IOWA",IA,USA
5545,Sophomore,Brooklyn Park,Minn,Champlin Park HS,,Sophomore,Champlin Park HS,"BROOKLYN PARK, MINN",MN,USA
5558,Freshman,Sioux Falls,SD.,Sioux Falls Christian HS,,Freshman,Sioux Falls Christian HS,"SIOUX FALLS, SD",SD,USA
5553,Junior,North Sioux City,SD.,Bishop Heelan Catholic HS,,Junior,Bishop Heelan Catholic HS,"NORTH SIOUX CITY, SD",SD,USA
5548,Senior,Shenandoah,Iowa,Missouri Western State / Shenandoah HS,,Senior,Missouri Western State / Shenandoah HS,"SHENANDOAH, IOWA",IA,USA
5555,Freshman,Gretna,Neb,Gretna HS,,Freshman,Gretna HS,"GRETNA, NEB",NE,USA
5559,Freshman,Mandurah,Australia,,,Freshman,,"MANDURAH, AUSTRALIA",,AUSTRALIA
6181,Junior,Imperial,Pennsylvania,West Allegheny,,Junior,West Allegheny,"IMPERIAL, PA",PA,USA
6183,Sophomore,Pittsburgh,Pennsylvania,Baldwin,,Sophomore,Baldwin,"PITTSBURGH, PA",PA,USA
6190,Freshman,Rushville,Ohio,Sheridan,,Freshman,Sheridan,"RUSHVILLE, OHIO",OH,USA
6192,Sophomore,Veles,Macedonia,J Addison Prep,Duquesne,Sophomore,J Addison Prep,"VELES, MACEDONIA",,MACEDONIA
6347,Senior,Granollers,Spain,Institut Lauro,Seton Hill,Senior,Institut Lauro,"GRANOLLERS, SPAIN",,SPAIN
6182,Sophomore,New Castle,Pennsylvania,Mohawk,,Sophomore,Mohawk,"NEW CASTLE, PA",PA,USA
6191,Freshman,Navarre,Ohio,Fairless,,Freshman,Fairless,"NAVARRE, OHIO",OH,USA
6185,Sophomore,New Castle,Pennsylvania,Mohawk,,Sophomore,Mohawk,"NEW CASTLE, PA",PA,USA
6187,Sophomore,Roseville,Ohio,Maysville,,Sophomore,Maysville,"ROSEVILLE, OHIO",OH,USA
6193,Freshman,Keyser,WVa.,Frankfort,,Freshman,Frankfort,"KEYSER, WVA",WV,USA
6188,Junior,New Carlisle,Ohio,Tecumseh,,Junior,Tecumseh,"NEW CARLISLE, OHIO",OH,USA
