player_id,name,height_clean,height_ft,height_in,total_inches
3708,Mariona Pontnou,"6'1""",6,1,73
7695,Alexis Phillips,"6'1""",6,1,73
7698,Maddie Ratcliff,"5'10""",5,10,70
7702,Ale Sydnor,"5'7""",5,7,67
7701,Jaisah Smith,"5'9""",5,9,69
7688,Ashton Funderburg,"5'8""",5,8,68
7696,Kyndra Pilant,"6'0""",6,0,72
7690,Maggie Guynn,"5'10""",5,10,70
7703,Drea Betts,"5'9""",5,9,69
7704,Hannah Perdue,"5'8""",5,8,68
7705,Taryn Blankenship,"6'0""",6,0,72
7686,Jazz Blankenship,"5'6""",5,6,66
7693,Shyanna James,"5'11""",5,11,71
7684,Lauryn Avery,"6'2""",6,2,74
7699,Kacie Shaffner,"5'8""",5,8,68
7689,Nakaila Gray,"5'11""",5,11,71
7706,Aubree Casteel,"6'2""",6,2,74
7707,Josie Montgomery,"5'10""",5,10,70
7709,Callie Smith,"5'10""",5,10,70
7692,Caroline Houpe,"5'9""",5,9,69
7685,Emilee Beggs,"5'7""",5,7,67
7708,Kennedy Scales,"5'10""",5,10,70
7700,Makenzee Shrewsbury,"5'9""",5,9,69
7710,Addison Frymoyer,"5'8""",5,8,68
7694,Carly Moretto,"5'6""",5,6,66
7697,Kylea Pollinger,"5'9""",5,9,69
7691,Malerie Hendrick,"5'5""",5,5,65
7711,Abbie Smith,"6'2""",6,2,74
6142,Terrion Moore,"5'8""",5,8,68
6140,Anna Hitt,"5'10""",5,10,70
6137,Kaylee DaMitz-Holt,"5'5""",5,5,65
6144,Bella Sparaco,"6'0""",6,0,72
6145,Caitlynn Daniels,"5'7""",5,7,67
6136,Allie Clevenger,"5'8""",5,8,68
6141,Haylee Mitchell,"6'0""",6,0,72
6146,Hailey Tunnell,"6'0""",6,0,72
6147,Rhi Gibbons,"5'9""",5,9,69
6135,Madi Braden,"5'8""",5,8,68
6148,Reese Schaaf,"5'11""",5,11,71
6139,Mia Henderson,"5'11""",5,11,71
6138,Alana Findley,"5'10""",5,10,70
6143,Aiden Moxness,"6'4""",6,4,76
6652,Hayden Robinson,"5'9""",5,9,69
6639,Ciaira Loyd,"5'7""",5,7,67
6653,Alicia Young,"5'10""",5,10,70
6637,Halle Herrington,"5'5""",5,5,65
6638,Azatah Lawrence,"5'10""",5,10,70
6654,Jamiyah Thomas,"6'2""",6,2,74
6636,Talia Gilliard,"5'9""",5,9,69
6655,Piper Terry,"5'9""",5,9,69
6656,Jordan Smith,"5'8""",5,8,68
6657,Allycia Harris,"5'9""",5,9,69
6640,Dynasty Shegog,"5'10""",5,10,70
6641,Dejah Terrell,"6'1""",6,1,73
6658,Rajah Fink,"5'10""",5,10,70
5130,Stevie Stinchcomb,"5'5""",5,5,65
5125,Kylee Scheer,"5'8""",5,8,68
5122,Tre'Zure Jobe,"5'7""",5,7,67
5127,Macy Smith,"5'5""",5,5,65
5131,Katie Horyna,"5'9""",5,9,69
5124,Victoria Price,"5'8""",5,8,68
5132,Audrey Beaty,"6'2""",6,2,74
5133,Faith Paramore,"6'0""",6,0,72
5129,Christina Walsh,"6'1""",6,1,73
5134,Elizabeth Milligan,"5'10""",5,10,70
5123,Maary Lakes,"6'4""",6,4,76
5126,Madison Skelton,"5'8""",5,8,68
5121,Ehlaina Hartman,"5'10""",5,10,70
